,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR
0,000000,P288,6367,STRAFFIC,-4.0,-5.0,True,2.6843957901000977,0.983207106590271,18.503585815429688,14.121289253234863,0.9250730872154236,3.4919473443712508,3.988169332200702,4.391641944106392,3.6996363293101218
1,000003,P288,6367,STRAFFIC,-10.0,-15.0,False,2.3382668495178223,0.9642525315284729,15.644329071044922,14.988738059997559,0.8706326484680176,3.426120860236032,3.9087271098905556,4.251484746097774,3.551060192816802
2,000006,P272,1578,PSTATION,-5.0,-16.0,True,1.8358445167541504,0.7636839747428894,12.508271217346191,10.232002258300781,0.5907073616981506,2.9165989330836704,3.5650777225353636,4.471063324061988,3.2994773879561126
3,000009,P272,1578,PSTATION,-9.0,-22.0,False,1.5798707008361816,0.7489678263664246,10.178696632385254,8.91571044921875,0.5113346576690674,2.8843085084642683,3.432867719540643,4.353973230895331,3.1664994991349706
4,000012,P288,27,DKITCHEN,-15.0,-16.0,True,1.7359836101531982,0.9349527955055237,11.481180191040039,9.145973205566406,0.841733455657959,3.2604986940111433,3.6938742269856033,4.100103650135941,3.287644360483483
5,000015,P288,27,DKITCHEN,-4.0,-30.0,False,1.5135074853897095,0.9024345278739929,8.538700103759766,6.174083709716797,0.8017621040344238,2.952672106879098,3.895074146354495,4.4793370683737175,3.5862199612453973
6,000018,P317,5104,PSTATION,-13.0,-15.0,True,1.8570621013641357,0.8411518335342407,15.939568519592285,13.849544525146484,0.687465488910675,3.0445397921970914,2.9780953310159624,4.161571797879504,2.700601630471616
7,000021,P317,5104,PSTATION,-12.0,-20.0,False,1.5971722602844238,0.8331848978996277,13.845099449157715,12.92713737487793,0.6397001147270203,2.879060677119664,2.577028928141115,4.095379552657127,2.3013776461509434
8,000024,P299,3526,NFIELD,-3.0,-25.0,True,2.5289926528930664,0.9602417349815369,19.789201736450195,18.195335388183594,0.8748272657394409,2.9423558030809676,3.3649266810401053,4.173303590489085,3.06736735570028
9,000027,P299,3526,NFIELD,-11.0,-18.0,False,3.226764440536499,0.9841891527175903,23.831470489501953,22.966094970703125,0.9609975218772888,3.1566014289855957,3.1365981728606447,3.9498339501937307,2.8120229648808723
