,SAMPLE_NAME,SPEAK,DISTR,NOISE,DISTR_SNR,NOISE_SNR,ECHO,PESQ,STOI,SDR,SISDR,ESTOI,DNSMOS-P808,DNSMOS-SIG,DNSMOS-BAK,DNSMOS-OVR,PROCESSING_TIME
0,000000,P288,6367,STRAFFIC,-4.0,-5.0,True,3.0224342346191406,0.987051784992218,19.65277862548828,17.07967758178711,0.944297194480896,3.5338635444641113,4.292600446437846,4.528316512761599,4.037374635249853,0.45932579040527344
1,000003,P288,6367,STRAFFIC,-10.0,-15.0,False,2.470015525817871,0.9746589064598083,17.445899963378906,16.95938491821289,0.9086571931838989,3.5911790302821567,4.3315354841383416,4.49588154384559,4.03886797623816,0.016829729080200195
2,000006,P272,1578,PSTATION,-5.0,-16.0,True,2.276073932647705,0.7957038879394531,13.553854942321777,11.603761672973633,0.6221739649772644,3.0160867146083286,3.7998376546472876,4.567770309892619,3.527628113003735,0.01711726188659668
3,000009,P272,1578,PSTATION,-9.0,-22.0,False,1.6643860340118408,0.7899635434150696,11.054920196533203,10.041184425354004,0.5500056743621826,2.8901398181915283,3.770439709913244,4.470630592481671,3.5067895049072004,0.017516613006591797
4,000012,P288,27,DKITCHEN,-15.0,-16.0,True,2.128636360168457,0.9537338614463806,13.539460182189941,11.506263732910156,0.8816542029380798,3.4092157908848355,3.4923341292776575,4.276108106641688,3.175682399891806,0.017879962921142578
5,000015,P288,27,DKITCHEN,-4.0,-30.0,False,2.4417433738708496,0.972935140132904,17.166234970092773,16.367341995239258,0.9150782823562622,2.9606467996324812,3.776880799675866,4.453143187230092,3.460192423888411,0.01698899269104004
6,000018,P317,5104,PSTATION,-13.0,-15.0,True,2.306185245513916,0.8631332516670227,16.850257873535156,15.190510749816895,0.7032173275947571,3.065708671297346,3.09322989869534,4.1711602291050065,2.8213631731456483,0.01720595359802246
7,000021,P317,5104,PSTATION,-12.0,-20.0,False,1.8101704120635986,0.843142569065094,14.664443969726562,13.840364456176758,0.6428707242012024,3.0865958758762906,3.096474497212847,3.8683504639884485,2.7207046883184915,0.016745567321777344
8,000024,P299,3526,NFIELD,-3.0,-25.0,True,2.9128904342651367,0.9743894338607788,21.29352569580078,19.175188064575195,0.9278239607810974,3.064232553754534,3.6126718111353964,4.149203133056023,3.2844525023241573,0.017586708068847656
9,000027,P299,3526,NFIELD,-11.0,-18.0,False,3.4939169883728027,0.9930251836776733,26.345731735229492,25.587547302246094,0.9755600690841675,3.2604078905923024,3.5446862377652772,4.131662678711263,3.221075478168913,0.016882658004760742
10,000030,P308,8975,TCAR,-8.0,-4.0,True,4.040153980255127,0.9966222643852234,24.700082778930664,20.64552116394043,0.9920631647109985,3.4014428683689664,3.090172742714992,3.5119223628294924,2.6203166156677677,0.017063140869140625
11,000033,P308,8975,TCAR,-7.0,-7.0,False,4.368134498596191,0.9997744560241699,29.6656551361084,29.313383102416992,0.9992859959602356,3.448117596762521,3.206951526987767,3.8993625852310276,2.850453707788516,0.016703367233276367
12,000036,P299,4481,OHALLWAY,-3.0,-15.0,True,2.4974682331085205,0.98726886510849,17.425081253051758,13.688518524169922,0.9432398080825806,3.4455554485321045,4.156705486789369,4.528003586260604,3.9001651865634943,0.016844511032104492
13,000039,P299,4481,OHALLWAY,-10.0,-1.0,False,3.8905584812164307,0.9994660019874573,29.90630340576172,28.927867889404297,0.9970249533653259,3.632025514330183,4.317547572290923,4.665511087445533,4.107863491505097,0.017072439193725586
14,000042,P308,5105,NFIELD,-3.0,-9.0,True,3.3660542964935303,0.9960413575172424,23.955440521240234,21.521286010742188,0.9854548573493958,3.237898213522775,3.518518815835541,4.379614251315053,3.2702797222909337,0.0168306827545166
15,000045,P308,5105,NFIELD,-6.0,-21.0,False,3.0963051319122314,0.9935940504074097,22.957361221313477,22.437255859375,0.9672645330429077,3.2847957270486012,3.6230139003291444,4.494822106557898,3.4202290320228603,0.0165560245513916
16,000048,P308,1867,TMETRO,-5.0,-5.0,True,3.4605298042297363,0.9402339458465576,20.9144229888916,18.657928466796875,0.819254994392395,3.397716930934361,3.5641145870191324,4.357721420416683,3.2779474021549295,0.018182039260864258
17,000051,P308,1867,TMETRO,-10.0,-6.0,False,3.5303261280059814,0.9144905209541321,24.01066017150879,23.236595153808594,0.8314713835716248,3.508594410760062,3.240332738452725,4.102488978407496,2.8884604283297315,0.01684880256652832
18,000054,P248,1455,DLIVING,-7.0,-4.0,True,2.9951863288879395,0.9828985333442688,18.83561897277832,15.650249481201172,0.9670833349227905,3.31990647315979,3.6626193516511285,4.430282136906257,3.43354258097443,0.016597986221313477
19,000057,P248,1455,DLIVING,-9.0,-1.0,False,4.013084888458252,0.9978708028793335,30.773521423339844,30.121109008789062,0.9941882491111755,3.310359239578247,3.8647273704417464,4.496394653624526,3.6397789514534544,0.016878366470336914
20,000060,P260,1594,TBUS,-7.0,-7.0,True,3.0262482166290283,0.9974294900894165,25.67072868347168,21.640050888061523,0.9898042678833008,3.3067470959254672,3.770551212932386,4.422699407311614,3.5211253567245078,0.01752781867980957
21,000063,P260,1594,TBUS,-3.0,-9.0,False,3.499552011489868,0.9983124136924744,27.15308380126953,26.778871536254883,0.9903445839881897,3.190574816295079,3.8165135520155564,4.483920231482107,3.550623684497617,0.016985654830932617
22,000066,P288,4481,NPARK,-13.0,-17.0,True,2.4633264541625977,0.816145122051239,21.857711791992188,18.4151611328125,0.7017806768417358,2.857825347355434,2.9267016171238107,4.228915435790909,2.602459577986805,0.017088890075683594
23,000069,P288,4481,NPARK,-13.0,-18.0,False,2.109449625015259,0.7789671421051025,20.694120407104492,19.960405349731445,0.6716793775558472,2.924002136502947,3.551542845910522,4.376445604611736,3.2785882785846314,0.017019271850585938
24,000072,P248,6818,OOFFICE,-4.0,-10.0,True,3.9766716957092285,0.9938504695892334,25.87191390991211,23.844871520996094,0.9771040678024292,3.4748237473624095,3.720163687969959,4.345530587220547,3.4524227878916762,0.017107009887695312
25,000075,P248,6818,OOFFICE,-10.0,-28.0,False,2.818114757537842,0.9729189276695251,20.051132202148438,19.45395278930664,0.91241055727005,3.444332940237863,3.4174304546817034,4.1536861473434135,3.1113109072536105,0.01773548126220703
26,000078,P272,3982,SCAFE,-4.0,-17.0,True,2.4101874828338623,0.9244757890701294,15.60300064086914,14.747513771057129,0.8142180442810059,3.748990092958723,4.451589111063018,4.559536051679145,4.166806970557916,0.016730308532714844
